Rank,Lemma,WeightedScore,RawCount
552,κοινωνέω,0.968732,83
553,Νικομήδης,0.968193,4
554,χρέως,0.962642,17
555,φιλία,0.961039,108
556,προθυμία,0.955380,71
557,Λεωκράτης,0.952410,68
558,δημοκρατέω,0.948378,48
559,μακρός,0.946744,310
560,βίαιος,0.945242,60
561,ΜΑ,0.944646,29
562,δανείζω,0.942386,44
563,παραγράφω,0.942374,38
564,πλησιάζω,0.940267,59
565,σκεύος,0.937414,83
566,διαγιγνώσκω,0.933943,66
567,συγγραφεύς,0.931333,46
568,προτίθημι,0.929842,87
569,παιδεύω,0.929824,89
570,δικαστός,0.927649,53
571,νόσος,0.925996,110
572,παραινέομαι,0.922866,57
573,δικαιοσύνη,0.914935,303
574,κοινωνός,0.911634,58
575,Κάλλιππος,0.909105,24
576,τριηραρχία,0.908898,44
577,χραύω,0.905687,48
578,κατορθόω,0.905493,96
579,παρακρούω,0.902709,44
580,Σόλων,0.900995,86
581,παραινέω,0.899530,65
582,θαλάττης,0.897958,53
583,Θεσσαλός,0.897283,154
584,ποιόω,0.892647,123
585,κοσμιότερος,0.890782,4
586,διό,0.888961,110
587,κράω,0.888958,79
588,φύλαρχος,0.887644,10
589,σιωπάω,0.886220,66
590,στέργω,0.885294,39
591,θυσία,0.881569,137
592,μαρτυριά,0.876251,26
593,μίμνω,0.874497,129
594,τοτέ,0.871700,38
595,σωτήρ,0.864298,58
596,φιλονικέω,0.862263,16
597,συνέρχομαι,0.856326,129
598,μνημονεύω,0.853715,100
599,Λύκων,0.850960,25
600,κληρονομία,0.850941,52
601,λογισμός,0.848766,100
602,πλουτέω,0.848297,41
603,σώφρων,0.847254,86
604,δώδεκα,0.845233,175
605,φωνή,0.844505,342
606,παραλείπω,0.840425,81
607,προσάγω,0.839225,103
608,καινός,0.838187,111
609,νόμιμος,0.836116,89
610,Ξεναίνετος,0.835145,7
611,ξύλον,0.833489,122
612,συγκέομαι,0.832483,38
613,νομοθετέω,0.832321,68
614,Σφηττώς,0.831208,3
615,Κικυννός,0.829600,2
616,πάτριος,0.827391,96
