Rank,Lemma,Count,RelativeFrequency
670,βέλος,109,0.000152
671,Στέφανος,109,0.000152
672,ὅσος,109,0.000152
673,φιλία,108,0.000151
674,καταφεύγω,108,0.000151
675,ἀνίστημι,108,0.000151
676,κακία,107,0.000149
677,φιλοσοφία,107,0.000149
678,τέρπω,107,0.000149
679,νέκυς,107,0.000149
680,βωμός,106,0.000148
681,πλόος,106,0.000148
682,τρίς,106,0.000148
683,γάμος,106,0.000148
684,ὥρα,106,0.000148
685,ἀλήθεια,106,0.000148
686,καθαιρέω,105,0.000147
687,θεράπων,105,0.000147
688,Τροία,105,0.000147
689,φώς,105,0.000147
690,πρόσω,104,0.000145
691,διοικέω,104,0.000145
692,βιάζω,104,0.000145
693,θνητός,104,0.000145
694,πάρος,104,0.000145
695,ὅλος,104,0.000145
696,τετρακόσιοι,103,0.000144
697,πρόνοια,103,0.000144
698,προσάγω,103,0.000144
699,τυραννίς,103,0.000144
700,σπουδή,103,0.000144
701,Κόρινθος,103,0.000144
702,κάμνω,103,0.000144
703,περιπατέω,103,0.000144
704,πῶς,103,0.000144
705,δίς,102,0.000142
706,κάτω,102,0.000142
707,πάθος,102,0.000142
708,βοή,102,0.000142
709,κόλπος,102,0.000142
710,ναίω,102,0.000142
711,μέτειμι,101,0.000141
712,συμβόλαιος,101,0.000141
713,σωφροσύνη,101,0.000141
714,τέταρτος,101,0.000141
715,λαμπρός,101,0.000141
716,Κλέαρχος,101,0.000141
717,Σίμων,101,0.000141
718,ὅτε,101,0.000141
719,ἐξουσία,101,0.000141
720,αἴρω,101,0.000141
721,λογισμός,100,0.000140
722,μνημονεύω,100,0.000140
723,ὀφθαλμός,100,0.000140
724,Μάρτυρες,99,0.000138
725,διαφεύγω,99,0.000138
726,κατεργάζομαι,99,0.000138
727,πίμπλημι,99,0.000138
728,χιτών,99,0.000138
729,Λιβύη,99,0.000138
730,σῴζω,99,0.000138
731,ἀγαθός,99,0.000138
732,συλλαμβάνω,98,0.000137
733,μηκέτι,98,0.000137
734,ποιμήν,98,0.000137
735,σπένδω,98,0.000137
736,κέλομαι,98,0.000137
737,διδάσκαλος,97,0.000135
738,ποτ,97,0.000135
739,κράτιστος,97,0.000135
740,κινέω,97,0.000135
741,πορίζω,97,0.000135
742,λοχαγός,97,0.000135
743,Γλαύκων,97,0.000135
744,δαίς,97,0.000135
745,χρηστήριον,97,0.000135
746,αἷμα,97,0.000135
747,ὁδός,97,0.000135
748,ἄρτος,97,0.000135
749,πάτριος,96,0.000134
750,κατορθόω,96,0.000134
751,διαβολή,96,0.000134
752,συκοφαντέω,96,0.000134
753,δοξάζω,96,0.000134
754,κλύω,96,0.000134
755,ΜΑΡΤΥΡίς,96,0.000134
756,πέτρα,96,0.000134
757,νέομαι,96,0.000134
758,Πύλος,96,0.000134
759,ἀλλήλων,96,0.000134
760,Φαρισαῖος,96,0.000134
761,δοθέω,95,0.000133
762,συγγενής,95,0.000133
763,προαιρέω,95,0.000133
764,τάχα,95,0.000133
765,δίφρος,95,0.000133
766,καλύπτω,95,0.000133
767,σύγω,95,0.000133
768,φοβέομαι,95,0.000133
769,ἕτερος,95,0.000133
770,Χερσόνησος,94,0.000131
771,προσκυνέω,94,0.000131
772,κάρτα,94,0.000131
773,καταπλέω,93,0.000130
774,πάππος,93,0.000130
775,μεμαρτυρέω,93,0.000130
776,πύργος,93,0.000130
777,χάλκεος,93,0.000130
778,ἐνώπιον,93,0.000130
779,ἔτι,93,0.000130
780,οἰκία,93,0.000130
781,βοάω,92,0.000128
782,περιβάλλω,92,0.000128
783,τλάω,92,0.000128
784,πη,92,0.000128
785,Σεύθης,92,0.000128
786,ἐκεῖ,92,0.000128
787,κήδω,91,0.000127
788,βασανίζω,91,0.000127
789,τεσσαράκοντα,91,0.000127
790,νήπιος,91,0.000127
791,χειροτονέω,90,0.000126
792,πρέπω,90,0.000126
793,τίνω,90,0.000126
794,λέων,90,0.000126
795,μεθίημι,90,0.000126
796,μυριάς,90,0.000126
797,χθών,90,0.000126
798,ταραχή,89,0.000124
799,νόμιμος,89,0.000124
800,βέλτιος,89,0.000124
801,φθονέω,89,0.000124
802,παιδεύω,89,0.000124
803,σπουδάζω,89,0.000124
804,παντάπασιν,89,0.000124
805,φίλιος,89,0.000124
806,κλέπτω,89,0.000124
807,πλήσσω,89,0.000124
808,ἀκολουθέω,89,0.000124
809,στασιάζω,88,0.000123
810,καίπερ,88,0.000123
811,δηιόω,88,0.000123
812,Τίμαρχος,88,0.000123
813,ἑπτά,88,0.000123
814,προτίθημι,87,0.000121
815,παραπλήσιος,87,0.000121
816,στερέω,87,0.000121
817,κενός,87,0.000121
818,τάφος,87,0.000121
819,βοήθεια,87,0.000121
820,κάρα,87,0.000121
821,εἰρήνη,87,0.000121
822,προσεύχομαι,86,0.000120
823,σώφρων,86,0.000120
824,Σόλων,86,0.000120
825,Διομήδης,86,0.000120
826,λόφος,86,0.000120
827,γραμματεύς,86,0.000120
828,οὔτε,86,0.000120
829,ἀπόλλυμι,86,0.000120
830,ἄρχω,86,0.000120
831,πονέω,85,0.000119
832,μεταβολή,85,0.000119
833,πλησίος,85,0.000119
834,μεθίστημι,85,0.000119
835,δικαιόω,85,0.000119
836,Σπάρτη,85,0.000119
837,πολύμητις,85,0.000119
838,τροφή,84,0.000117
839,καταδύω,84,0.000117
840,γλαφυρός,84,0.000117
841,περιπίπτω,83,0.000116
